originaltimestamp,uuid,yourname,originalmeetingdate,meetingcode,issueid,meetingname,structure,structurecounty,structuredistrict,status,issuedistrict,community,category,raisedby,disputant,duration,actionplancommittee,actionplandescription,actionplannotes,ongoing_resolved,resolutiondate,report_ongoing,googledocs,resolution,updatetype,resolutiontype,updatedate,updatedescription,mediationdate,mediationoutcome,issuedescription,issuename,issuenotes,statusnotes,referraldate,referredto,referralnote
42688,2015-02-CS-NI-00001,,42041,2015-02-CS-NI,00001,"February, 2015 Nimba CSC",CSC,Nimba,Buu-Yao,Resolved,Buu-Yao,Buutuo,Violence,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CS-NI-00002,,42095,2015-04-CS-NI,00002,"April, 2015 Nimba CSC",CSC,Nimba,Garr-Bain,Resolved,Garr-Bain,Gbuyee,International Dispute,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-04-CF-GB-00003,,42095,2015-04-CF-GB,00003,"April, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,Security Services,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-05-CF-GB-00004,,42125,2015-05-CF-GB,00004,"May, 2015 Nimba CF",CF,Nimba,Garr-Bain,Resolved,Garr-Bain,Ganta,International Dispute,,,,,,,Resolved,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-05-DS-GL-00005,,42125,2015-05-DS-GL,00005,"May, 2015 Nimba DSC",DSC,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Loguatuo-Karnplay,Infrastructure and Government Services,,,,,,,Resolved,42599,Resolved,,"Resolved by the CSC, arranging with Public Works to have the road worked on. Will use the Nimba machine to work on the road",,,,,,,,,,,,,
42688,2015-05-CF-KB-00006,,42125,2015-05-CF-KB,00006,"May, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Old Yorpea Town,General Land,Dubuzon CF,,,,"Mediation set for Dec 7-10, 2015",,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-05-CF-KB-00007,,42125,2015-05-CF-KB,00007,"May, 2015 Nimba CF",CF,Nimba,Kparblee,Ongoing,Kparblee,Old Yorpea Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00008,,42186,2015-07-CF-GL,00008,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Mah-Display,General Land,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00009,,42186,2015-07-CF-GL,00009,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,NA,General Land,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00010,,42186,2015-07-CF-GL,00010,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Ongoing,Gbehlay-Geh,Loelay Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-GL-00011,,42186,2015-07-CF-GL,00011,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Loelay,Violence,,,,,,,Resolved,42599,Resolved,,Mediation done,,,,,,,,,,,,,
42688,2015-07-CF-GL-00012,,42186,2015-07-CF-GL,00012,"July, 2015 Nimba CF",CF,Nimba,Gbehlay-Geh,Resolved,Gbehlay-Geh,Larpea #2,General Land,,,,,,,Ongoing,42599,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-BY-00013,,42186,2015-07-CF-BY,00013,"July, 2015 Nimba CF",CF,Nimba,Buu-Yao,Ongoing,Buu-Yao,Nyor-Bluntou Town,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-BY-00014,,42186,2015-07-CF-BY,00014,"July, 2015 Nimba CF",CF,Nimba,Buu-Yao,Ongoing,Buu-Yao,Ninkwia Chiefdom,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
42688,2015-07-CF-BY-00015,,42186,2015-07-CF-BY,00015,"July, 2015 Nimba CF",CF,Nimba,Buu-Yao,Ongoing,Buu-Yao,Ninkwia Chiefdom,General Land,,,,,,,Ongoing,42618,Resolved,,,,,,,,,,,,,,,
